"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2019","116.94","116.77","117.38","115.98","6.17K","0.39%"
"Feb 07, 2019","116.49","116.42","119.01","115.59","7.33K","0.06%"
"Feb 06, 2019","116.42","119.07","123.49","112.82","27.96K","-2.23%"
"Feb 05, 2019","119.07","119.77","120.95","118.23","4.07K","-0.58%"
"Feb 04, 2019","119.77","120.06","121.87","118.56","6.98K","-0.24%"
"Feb 03, 2019","120.06","123.52","123.65","118.24","10.09K","-2.80%"
"Feb 02, 2019","123.52","117.75","124.18","117.21","14.96K","4.90%"
"Feb 01, 2019","117.75","116.07","120.20","112.77","14.47K","1.73%"
"Jan 31, 2019","115.75","119.43","123.37","115.00","11.91K","-3.08%"
"Jan 30, 2019","119.43","111.54","122.60","109.50","22.99K","7.07%"
"Jan 29, 2019","111.54","113.06","114.07","108.07","11.76K","-1.48%"
"Jan 28, 2019","113.22","122.88","122.88","107.07","24.44K","-7.95%"
"Jan 27, 2019","123.00","127.74","128.43","119.63","8.05K","-3.71%"
"Jan 26, 2019","127.74","128.98","130.98","127.68","4.83K","-0.80%"
"Jan 25, 2019","128.77","131.35","131.35","127.16","5.70K","-1.96%"
"Jan 24, 2019","131.35","133.80","133.89","128.06","13.93K","-1.83%"
"Jan 23, 2019","133.80","129.70","137.77","128.87","26.51K","3.16%"
"Jan 22, 2019","129.70","123.02","133.29","117.66","17.32K","5.50%"
"Jan 21, 2019","122.94","123.48","124.97","121.50","7.21K","-0.52%"
"Jan 20, 2019","123.58","131.71","132.52","122.02","12.78K","-6.17%"
"Jan 19, 2019","131.71","129.31","135.18","128.89","10.12K","1.92%"
"Jan 18, 2019","129.23","132.09","132.71","127.32","4.73K","-2.17%"
"Jan 17, 2019","132.09","129.87","133.61","126.11","12.60K","1.73%"
"Jan 16, 2019","129.84","128.87","133.13","128.75","7.10K","0.75%"
"Jan 15, 2019","128.87","135.48","136.50","127.51","14.20K","-4.88%"
"Jan 14, 2019","135.48","127.58","139.33","125.39","15.34K","6.44%"
"Jan 13, 2019","127.28","135.62","137.18","124.37","14.41K","-6.15%"
"Jan 12, 2019","135.62","132.35","139.71","132.01","21.10K","2.35%"
"Jan 11, 2019","132.50","136.01","136.30","129.58","24.63K","-2.70%"
"Jan 10, 2019","136.18","162.20","167.37","133.11","51.83K","-16.04%"
"Jan 09, 2019","162.20","164.25","165.65","159.04","14.93K","-1.09%"
"Jan 08, 2019","163.99","164.42","167.36","161.01","12.49K","-0.26%"
"Jan 07, 2019","164.42","169.52","171.00","163.50","10.11K","-3.12%"
"Jan 06, 2019","169.72","162.68","172.23","161.24","21.56K","4.33%"
"Jan 05, 2019","162.68","164.88","171.00","161.60","13.53K","-1.33%"
"Jan 04, 2019","164.88","166.03","169.50","157.68","12.81K","-0.69%"
"Jan 03, 2019","166.03","176.83","180.66","162.68","12.88K","-5.84%"
"Jan 02, 2019","176.33","169.15","180.30","166.27","21.27K","4.24%"
"Jan 01, 2019","169.15","153.50","170.86","152.48","20.09K","10.20%"
"Dec 31, 2018","153.49","168.02","168.47","151.12","14.23K","-8.65%"
"Dec 30, 2018","168.02","167.68","169.85","162.09","13.39K","0.01%"
"Dec 29, 2018","168.00","179.60","181.00","166.60","16.71K","-6.46%"
"Dec 28, 2018","179.60","152.51","183.52","145.89","44.01K","17.76%"
"Dec 27, 2018","152.51","179.40","181.57","149.15","24.16K","-14.99%"
"Dec 26, 2018","179.40","176.00","191.12","168.21","28.88K","1.93%"
"Dec 25, 2018","176.00","185.01","186.20","154.41","45.29K","-4.87%"
"Dec 24, 2018","185.01","202.40","219.98","180.21","37.55K","-8.27%"
"Dec 23, 2018","201.70","203.59","218.00","194.84","27.40K","-0.93%"
"Dec 22, 2018","203.59","198.00","212.00","187.37","44.49K","2.82%"
"Dec 21, 2018","198.00","198.63","234.99","177.00","63.70K","-0.32%"
"Dec 20, 2018","198.63","130.27","208.63","126.00","67.69K","52.48%"
"Dec 19, 2018","130.27","107.23","147.77","104.88","27.36K","21.45%"
"Dec 18, 2018","107.26","91.36","108.08","87.95","12.50K","17.41%"
"Dec 17, 2018","91.36","81.31","95.00","80.87","6.08K","12.36%"
"Dec 16, 2018","81.31","78.54","84.67","78.33","3.12K","3.53%"
"Dec 15, 2018","78.54","81.43","83.59","75.55","1.85K","-3.55%"
"Dec 14, 2018","81.43","89.00","90.47","78.46","6.24K","-8.50%"
"Dec 13, 2018","89.00","99.56","99.56","88.44","3.53K","-10.61%"
"Dec 12, 2018","99.56","98.89","101.99","96.80","1.21K","0.67%"
"Dec 11, 2018","98.89","104.80","104.80","94.77","2.42K","-5.63%"
"Dec 10, 2018","104.80","109.55","111.45","102.38","3.19K","-4.34%"
"Dec 09, 2018","109.55","102.27","112.91","101.37","18.04K","7.12%"
"Dec 08, 2018","102.27","106.68","110.63","97.00","5.50K","-4.13%"
"Dec 07, 2018","106.68","107.25","119.59","96.61","21.24K","-0.53%"
"Dec 06, 2018","107.25","130.30","132.35","107.10","8.82K","-17.50%"
"Dec 05, 2018","130.00","149.70","149.70","130.00","7.32K","-13.16%"
"Dec 04, 2018","149.70","159.30","160.37","148.00","5.45K","-6.03%"
"Dec 03, 2018","159.30","172.23","172.34","157.27","7.38K","-7.61%"
"Dec 02, 2018","172.43","175.55","182.40","172.07","2.51K","-1.19%"
"Dec 01, 2018","174.50","173.29","179.28","167.27","3.94K","0.59%"
"Nov 30, 2018","173.47","181.77","189.53","168.64","3.60K","-4.46%"
"Nov 29, 2018","181.57","192.98","192.98","176.70","2.69K","-5.35%"
"Nov 28, 2018","191.83","181.39","199.97","178.43","5.09K","5.85%"
"Nov 27, 2018","181.23","183.52","190.78","171.46","7.61K","-1.44%"
"Nov 26, 2018","183.88","187.38","210.25","171.39","23.25K","-1.52%"
"Nov 25, 2018","186.72","183.17","191.42","156.39","13.60K","1.94%"
"Nov 24, 2018","183.17","208.14","219.20","175.91","10.81K","-12.00%"
"Nov 23, 2018","208.14","210.80","214.58","198.00","11.23K","-2.35%"
"Nov 22, 2018","213.14","237.99","240.50","212.80","5.83K","-10.57%"
"Nov 21, 2018","238.33","228.57","247.52","218.14","8.99K","5.40%"
"Nov 20, 2018","226.11","229.40","257.00","197.00","19.02K","-1.43%"
"Nov 19, 2018","229.40","291.50","291.50","224.52","19.85K","-21.09%"
"Nov 18, 2018","290.71","255.51","294.54","255.51","9.71K","14.16%"
"Nov 17, 2018","254.66","262.00","270.69","231.98","21.15K","-2.24%"